feature,importance_regressor,importance_classifier
food_quality,0.12661486304127137,0.023470843756168064
secretariat_communication,0.05491738680820731,0.020686759211324575
information_adequacy,0.04860431578138097,0.025080405260510915
time_allotment,0.04740206363516385,0.026383669471966627
equipment_functionality,0.04485812046521923,0.02656024414558169
information_timeliness,0.04389759384206491,0.019221781626671725
participation,0.04272457665233079,0.020487160771531922
food_service,0.041797336665571706,0.02270061171109231
food_timeliness,0.04127372164593399,0.023742720340150108
cleanliness,0.04122177897930476,0.02488128958464516
food_quantity,0.04028535155011236,0.020047183568244486
venue_appearance,0.040190507895791525,0.5007275362070481
secretariat_sensitivity,0.03961789402330271,0.025173183933756296
relevance,0.03839625161779872,0.02227684371817068
food_presentation,0.038353643016859305,0.021454650497241965
attendance,0.03737101995949049,0.024878146979578318
secretariat_management,0.03686360375188196,0.023913043448704298
teamwork,0.03645696181704286,0.022130569832912016
food_sufficiency,0.036036902110196806,0.02195540161074521
interaction,0.03547597783420733,0.01965364983913941
program_order,0.03352829813209096,0.02825816880735681
respondent_type,0.02806106117465296,0.01409135405845909
year_level,0.02605076960012304,0.02222478161900015
